Name,SiteNumber,EventDateTime,MeterNumber,MeterReading,BatteryVoltage,PowerStatus,PSiteName,ReadingDate,ReadingTime
Rietvlei1,0003,2016-01-25 17:00:00.967,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,17:00:00
Rietvlei1,0003,2016-01-25 16:00:04.070,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,16:00:00
Rietvlei1,0003,2016-01-25 16:00:03.123,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,16:00:00
Rietvlei1,0003,2016-01-25 16:00:01.950,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,16:00:00
Rietvlei1,0003,2016-01-25 16:00:00.940,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,16:00:00
Rietvlei1,0003,2016-01-25 15:00:05.400,      87903951,0000008.218,13.4,ON,Rietvlei1,2016/01/25,15:00:00
Rietvlei1,0003,2016-01-25 15:00:04.340,      87903951,0000008.218,13.4,ON,Rietvlei1,2016/01/25,15:00:00
Rietvlei1,0003,2016-01-25 15:00:03.050,      87903951,0000008.218,13.4,ON,Rietvlei1,2016/01/25,15:00:00
Rietvlei1,0003,2016-01-25 15:00:01.827,      87903951,0000008.218,13.4,ON,Rietvlei1,2016/01/25,15:00:00
Rietvlei1,0003,2016-01-25 14:00:06.123,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,14:00:00
Rietvlei1,0003,2016-01-25 14:00:05.157,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,14:00:00
Rietvlei1,0003,2016-01-25 14:00:03.940,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,14:00:00
Rietvlei1,0003,2016-01-25 14:00:02.660,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,14:00:00
Rietvlei1,0003,2016-01-25 13:00:06.230,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,13:00:00
Rietvlei1,0003,2016-01-25 13:00:05.267,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,13:00:00
Rietvlei1,0003,2016-01-25 13:00:03.843,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,13:00:00
Rietvlei1,0003,2016-01-25 13:00:02.807,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,13:00:00
Rietvlei1,0003,2016-01-25 12:00:05.507,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,12:00:00
Rietvlei1,0003,2016-01-25 12:00:04.563,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,12:00:00
Rietvlei1,0003,2016-01-25 12:00:03.507,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,12:00:00
Rietvlei1,0003,2016-01-25 12:00:02.417,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,12:00:00
Rietvlei1,0003,2016-01-25 11:00:05.220,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,11:00:00
Rietvlei1,0003,2016-01-25 11:00:04.260,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,11:00:00
Rietvlei1,0003,2016-01-25 11:00:03.320,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,11:00:00
Rietvlei1,0003,2016-01-25 11:00:02.300,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,11:00:00
Rietvlei1,0003,2016-01-25 10:00:04.673,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,10:00:00
Rietvlei1,0003,2016-01-25 10:00:03.727,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,10:00:00
Rietvlei1,0003,2016-01-25 10:00:02.450,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,10:00:00
Rietvlei1,0003,2016-01-25 10:00:01.137,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,10:00:00
Rietvlei1,0003,2016-01-25 09:00:04.363,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,09:00:00
Rietvlei1,0003,2016-01-25 09:00:03.170,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,09:00:00
Rietvlei1,0003,2016-01-25 09:00:02.150,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,09:00:00
Rietvlei1,0003,2016-01-25 09:00:01.057,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,09:00:00
Rietvlei1,0003,2016-01-25 08:00:04.853,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,08:00:00
Rietvlei1,0003,2016-01-25 08:00:03.403,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,08:00:00
Rietvlei1,0003,2016-01-25 08:00:01.987,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,08:00:00
Rietvlei1,0003,2016-01-25 08:00:00.830,      87903951,0000008.218,13.3,ON,Rietvlei1,2016/01/25,08:00:00
Rietvlei1,0003,2016-01-25 07:00:04.800,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,07:00:00
Rietvlei1,0003,2016-01-25 07:00:03.857,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,07:00:00
Rietvlei1,0003,2016-01-25 07:00:02.840,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,07:00:00
Rietvlei1,0003,2016-01-25 07:00:01.793,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,07:00:00
Rietvlei1,0003,2016-01-25 06:00:05.037,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,06:00:00
Rietvlei1,0003,2016-01-25 06:00:03.960,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,06:00:00
Rietvlei1,0003,2016-01-25 06:00:02.933,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,06:00:00
Rietvlei1,0003,2016-01-25 06:00:01.917,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,06:00:00
Rietvlei1,0003,2016-01-25 05:00:06.127,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,05:00:00
Rietvlei1,0003,2016-01-25 05:00:05.173,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,05:00:00
Rietvlei1,0003,2016-01-25 05:00:03.453,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,05:00:00
Rietvlei1,0003,2016-01-25 05:00:02.020,      87903951,0000008.218,13.2,ON,Rietvlei1,2016/01/25,05:00:00
Rietvlei1,0003,2016-01-25 04:00:05.763,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,04:00:00
Rietvlei1,0003,2016-01-25 04:00:04.803,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,04:00:00
Rietvlei1,0003,2016-01-25 04:00:03.763,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,04:00:00
Rietvlei1,0003,2016-01-25 04:00:02.720,      87903951,0000008.218,13.1,ON,Rietvlei1,2016/01/25,04:00:00
Rietvlei1,0003,2016-01-25 03:00:05.550,      87903951,0000008.218,13.0,ON,Rietvlei1,2016/01/25,03:00:00
Rietvlei1,0003,2016-01-25 03:00:04.593,      87903951,0000008.218,13.0,ON,Rietvlei1,2016/01/25,03:00:00
Rietvlei1,0003,2016-01-25 03:00:03.280,      87903951,0000008.218,13.0,ON,Rietvlei1,2016/01/25,03:00:00
